company,ticker,sector,region,country,year,E,S,G,ESG_total,market_cap_usd,E_emissions,E_energy,S_diversity,G_board
"Tesla, Inc.",C019,Consumer Cyclical,Europe,Sweden,2021,43.35,50.37,50.44,48.05,1.74,42.24,54.51,56.74,51.61
The Procter & Gamble Company,C020,Consumer Defensive,Europe,United Kingdom,2021,46.24,26.39,51.75,41.46,2.28,53.12,48.32,37.81,48.61
AbbVie Inc.,C021,Healthcare,Europe,United Kingdom,2021,59.71,62.4,67.09,63.07,1.34,61.85,51.92,68.51,73.16
Visa Inc.,C022,Financial Services,North America,Mexico,2021,76.34,56.75,69.98,67.69,2.68,78.61,66.09,53.57,75.96
JPMorgan Chase & Co.,C023,Financial Services,Asia-Pacific,Singapore,2021,60.27,64.5,64.54,63.1,4.84,59.45,56.63,66.54,62.18
Berkshire Hathaway Inc.,C024,Financial Services,Middle East & Africa,United Arab Emirates,2021,52.38,61.27,58.5,57.38,4.53,48.26,53.02,62.55,58.35
AbbVie Inc.,C025,Healthcare,Latin America,Brazil,2021,73.78,38.24,63.52,58.51,0.87,71.85,72.42,44.03,60.18
The Procter & Gamble Company,C026,Consumer Defensive,North America,Mexico,2021,50.79,60.96,46.19,52.65,0.4,58.74,45.9,64.03,50.26
Apple Inc.,C027,Technology,Middle East & Africa,Saudi Arabia,2021,66.1,61.16,51.71,59.66,2.28,61.77,66.69,69.94,42.51
JPMorgan Chase & Co.,C028,Financial Services,Europe,Netherlands,2021,54.98,56.4,63.09,58.16,3.49,51.9,50.55,59.29,63.19
Exxon Mobil Corporation,C029,Energy,Asia-Pacific,Japan,2021,36.24,55.91,48.83,46.99,35.74,34.1,43.95,54.9,43.78
"Tesla, Inc.",C030,Consumer Cyclical,North America,Canada,2021,45.94,51.88,51.18,49.67,2.64,58.45,53.55,45.53,53.6
JPMorgan Chase & Co.,C031,Financial Services,North America,Mexico,2021,56.5,31.08,60.85,49.47,1.42,53.31,59.69,32.81,57.43
Walmart Inc.,C032,Consumer Defensive,Middle East & Africa,United Arab Emirates,2021,58.97,50.85,60.77,56.86,5.86,52.38,45.14,53.0,60.11
"Merck & Co., Inc.",C033,Healthcare,Latin America,Argentina,2021,73.13,55.62,59.64,62.8,6.94,75.54,72.14,51.22,60.13
"The Home Depot, Inc.",C034,Consumer Cyclical,Latin America,Brazil,2021,19.28,51.56,57.12,42.66,7.39,26.27,18.29,59.56,55.07
"Meta Platforms, Inc.",C035,Communication Services,North America,United States,2021,81.37,45.19,71.53,66.03,1.15,86.73,78.09,44.28,60.85
Mastercard Incorporated,C036,Financial Services,Latin America,Chile,2021,51.75,72.57,70.46,64.93,3.38,46.06,61.52,62.11,73.92
Mastercard Incorporated,C037,Financial Services,North America,United States,2021,49.07,52.24,32.37,44.56,7.34,48.88,44.74,57.14,35.05
NVIDIA Corporation,C038,Technology,Europe,Germany,2021,43.83,44.28,44.24,44.12,0.9,53.98,50.49,46.21,36.3
JPMorgan Chase & Co.,C039,Financial Services,Middle East & Africa,South Africa,2021,59.09,55.43,42.75,52.43,6.57,54.5,54.28,58.57,48.88
UnitedHealth Group Incorporated,C040,Healthcare,Asia-Pacific,China,2021,73.32,48.57,68.79,63.56,3.66,81.29,69.87,45.71,67.43
"PepsiCo, Inc.",C041,Consumer Defensive,North America,United States,2021,51.62,42.19,44.88,46.23,2.05,56.78,49.3,36.88,38.78
Walmart Inc.,C042,Consumer Defensive,Europe,Netherlands,2021,47.94,62.08,50.93,53.65,7.61,52.52,56.44,61.99,52.92
"Amazon.com, Inc.",C043,Consumer Cyclical,Middle East & Africa,Saudi Arabia,2021,38.67,51.57,56.64,48.96,1.6,51.01,32.86,50.89,59.6
Bank of America Corporation,C044,Financial Services,Middle East & Africa,United Arab Emirates,2021,56.39,77.06,50.52,61.32,0.7,62.71,56.19,75.14,55.09
NVIDIA Corporation,C045,Technology,North America,United States,2021,47.46,48.52,56.24,50.74,9.21,50.83,46.76,50.66,66.42
Costco Wholesale Corporation,C046,Consumer Defensive,Middle East & Africa,South Africa,2021,39.23,53.9,73.53,55.55,5.26,38.38,38.0,53.98,70.99
The Procter & Gamble Company,C047,Consumer Defensive,North America,Canada,2021,62.5,71.01,54.16,62.55,1.65,62.68,54.83,65.56,48.86
Alphabet Inc.,C048,Communication Services,Middle East & Africa,Saudi Arabia,2021,47.01,57.8,33.06,45.96,8.62,39.66,51.7,46.0,31.02
Costco Wholesale Corporation,C049,Consumer Defensive,Latin America,Argentina,2021,66.92,46.98,56.29,56.73,4.85,75.1,55.04,43.53,53.37
Microsoft Corporation,C050,Technology,North America,United States,2021,50.94,39.85,60.62,50.47,14.19,55.73,46.74,45.86,59.74
Broadcom Inc.,C051,Technology,Europe,Netherlands,2021,54.04,37.78,55.59,49.14,5.88,66.07,49.43,28.92,59.81
Walmart Inc.,C052,Consumer Defensive,North America,Mexico,2021,65.1,54.31,69.55,62.99,7.63,62.76,76.07,57.0,72.99
Eli Lilly and Company,C053,Healthcare,Europe,Sweden,2021,50.97,67.59,55.1,57.89,3.98,50.07,49.58,64.04,60.48
Microsoft Corporation,C054,Technology,North America,Canada,2021,62.31,47.84,35.61,48.59,1.97,69.4,66.47,44.81,33.54
Exxon Mobil Corporation,C055,Energy,Asia-Pacific,China,2021,46.15,31.7,57.37,45.07,0.27,50.09,37.34,43.98,54.95
Alphabet Inc.,C056,Communication Services,Latin America,Brazil,2021,78.12,52.05,62.59,64.25,1.15,82.83,86.92,58.58,61.17
Exxon Mobil Corporation,C057,Energy,Europe,United Kingdom,2021,48.06,62.3,54.02,54.79,5.9,51.15,54.73,74.92,56.02
The Procter & Gamble Company,C058,Consumer Defensive,Middle East & Africa,Saudi Arabia,2021,52.81,47.63,55.9,52.11,2.41,54.67,51.52,60.21,55.33
AbbVie Inc.,C059,Healthcare,Latin America,Argentina,2021,73.49,31.53,64.91,56.64,1.62,85.7,75.9,34.85,65.86
"PepsiCo, Inc.",C060,Consumer Defensive,Asia-Pacific,India,2021,67.4,32.6,67.0,55.67,36.57,68.11,71.71,44.66,70.91
Mastercard Incorporated,C061,Financial Services,Latin America,Chile,2021,35.45,53.32,53.81,47.53,1.76,40.74,35.64,55.34,54.42
Costco Wholesale Corporation,C062,Consumer Defensive,Latin America,Brazil,2021,63.67,35.66,84.28,61.21,16.49,60.73,61.73,43.1,85.67
JPMorgan Chase & Co.,C063,Financial Services,Latin America,Chile,2021,45.82,74.0,39.31,53.04,48.94,40.06,37.37,68.04,48.88
Chevron Corporation,C064,Energy,Latin America,Argentina,2021,40.25,54.97,61.39,52.2,4.46,30.25,40.97,46.36,65.79
Mastercard Incorporated,C065,Financial Services,Middle East & Africa,United Arab Emirates,2021,74.73,57.26,39.05,57.02,0.33,79.99,74.5,56.03,36.31
"Amazon.com, Inc.",C066,Consumer Cyclical,Latin America,Brazil,2021,56.58,77.9,64.68,66.39,4.31,56.34,58.7,69.69,63.67
Eli Lilly and Company,C067,Healthcare,Middle East & Africa,Saudi Arabia,2021,85.69,55.94,51.13,64.25,21.33,86.03,86.9,61.91,45.94
"Merck & Co., Inc.",C068,Healthcare,Latin America,Chile,2021,44.13,66.27,56.42,55.61,1.07,44.29,43.34,69.06,57.28
Broadcom Inc.,C069,Technology,North America,United States,2021,54.61,38.6,51.65,48.29,1.14,47.92,58.32,40.13,44.29
Microsoft Corporation,C070,Technology,North America,United States,2021,38.0,53.82,26.42,39.41,3.97,45.31,41.56,55.7,29.88
Chevron Corporation,C071,Energy,Asia-Pacific,Singapore,2021,51.67,64.37,58.91,58.32,6.75,51.24,47.4,63.8,57.35
Broadcom Inc.,C072,Technology,Asia-Pacific,Australia,2021,43.51,56.5,47.12,49.04,7.88,36.64,38.77,55.1,51.15
AbbVie Inc.,C073,Healthcare,North America,Mexico,2021,53.09,85.56,45.15,61.27,7.52,52.24,54.52,90.27,52.92
Berkshire Hathaway Inc.,C074,Financial Services,Asia-Pacific,China,2021,60.96,45.79,73.97,60.24,0.58,68.49,62.74,39.18,74.07
"Tesla, Inc.",C075,Consumer Cyclical,Asia-Pacific,China,2021,40.99,69.36,56.23,55.53,0.71,37.83,29.71,74.65,59.94
"The Home Depot, Inc.",C076,Consumer Cyclical,Asia-Pacific,China,2021,59.09,56.3,79.75,65.05,3.03,60.19,60.64,54.47,78.4
Broadcom Inc.,C077,Technology,North America,United States,2021,54.96,41.14,58.56,51.56,3.96,51.5,51.89,38.41,62.13
"Tesla, Inc.",C078,Consumer Cyclical,North America,Mexico,2021,51.65,56.5,68.68,58.94,9.71,57.72,50.28,59.51,70.96
Microsoft Corporation,C079,Technology,Europe,Netherlands,2021,43.03,55.5,40.75,46.43,1.65,32.47,37.41,54.01,40.15
Exxon Mobil Corporation,C080,Energy,Middle East & Africa,Saudi Arabia,2021,41.65,54.54,46.09,47.43,1.08,49.54,38.83,61.12,42.91
JPMorgan Chase & Co.,C081,Financial Services,Middle East & Africa,South Africa,2021,57.67,45.12,72.43,58.41,29.36,53.99,62.98,40.88,69.59
AbbVie Inc.,C082,Healthcare,Middle East & Africa,South Africa,2021,46.71,73.95,48.18,56.28,8.57,42.31,46.78,66.64,42.62
"The Home Depot, Inc.",C083,Consumer Cyclical,Middle East & Africa,United Arab Emirates,2021,52.16,64.61,49.25,55.34,7.2,46.7,55.93,70.04,46.88
Broadcom Inc.,C084,Technology,North America,Canada,2021,51.22,37.46,54.08,47.59,1.26,47.25,51.45,37.69,51.26
Eli Lilly and Company,C085,Healthcare,Asia-Pacific,Australia,2021,46.18,63.74,54.57,54.83,4.51,46.88,39.68,56.78,52.12
"Meta Platforms, Inc.",C086,Communication Services,Asia-Pacific,Australia,2021,56.81,77.61,54.66,63.02,1.81,55.87,61.78,81.64,57.49
Mastercard Incorporated,C087,Financial Services,Middle East & Africa,South Africa,2021,68.98,64.32,54.97,62.76,40.52,72.57,68.04,69.76,50.43
Chevron Corporation,C088,Energy,Middle East & Africa,Saudi Arabia,2021,64.62,52.32,53.44,56.8,2.02,66.12,62.1,45.2,50.52
Eli Lilly and Company,C089,Healthcare,North America,Canada,2021,58.02,60.32,38.52,52.29,4.04,51.78,53.69,59.3,42.02
UnitedHealth Group Incorporated,C090,Healthcare,Asia-Pacific,Australia,2021,44.43,42.32,44.23,43.66,1.17,43.44,46.82,35.33,45.84
Walmart Inc.,C091,Consumer Defensive,Middle East & Africa,Saudi Arabia,2021,66.92,71.71,65.35,67.99,11.85,69.31,65.42,71.05,70.82
Chevron Corporation,C092,Energy,Latin America,Argentina,2021,58.53,46.8,59.2,54.84,3.34,59.23,61.8,42.71,63.39
The Procter & Gamble Company,C093,Consumer Defensive,Asia-Pacific,Japan,2021,35.88,68.51,53.34,52.58,0.63,39.16,34.12,70.29,61.44
"Meta Platforms, Inc.",C094,Communication Services,Latin America,Brazil,2021,75.2,65.36,63.56,68.04,1.65,68.83,86.9,62.59,58.87
The Coca-Cola Company,C095,Consumer Defensive,Middle East & Africa,South Africa,2021,54.38,61.9,57.2,57.83,0.76,55.56,58.01,62.82,49.82
Microsoft Corporation,C096,Technology,Asia-Pacific,India,2021,66.68,79.01,52.8,66.17,8.24,59.05,67.92,85.88,49.3
Mastercard Incorporated,C097,Financial Services,North America,Canada,2021,59.53,41.73,53.36,51.54,0.35,57.32,51.4,35.98,49.88
The Procter & Gamble Company,C098,Consumer Defensive,Asia-Pacific,Australia,2021,50.49,59.94,58.7,56.38,3.06,55.6,47.23,56.15,58.02
Visa Inc.,C099,Financial Services,Europe,United Kingdom,2021,61.83,41.81,66.08,56.57,6.92,57.66,60.98,40.49,71.66
Exxon Mobil Corporation,C100,Energy,Europe,Netherlands,2021,45.74,46.44,36.29,42.83,4.89,47.17,48.47,43.63,39.22
Walmart Inc.,C101,Consumer Defensive,Europe,Germany,2021,52.39,46.37,67.08,55.28,2.21,44.28,49.07,51.0,63.88
The Coca-Cola Company,C102,Consumer Defensive,North America,Canada,2021,68.05,56.24,69.12,64.47,21.79,67.14,66.95,58.68,77.08
Alphabet Inc.,C103,Communication Services,Latin America,Chile,2021,60.94,72.48,68.08,67.16,5.88,63.33,54.71,71.96,70.72
Mastercard Incorporated,C104,Financial Services,Asia-Pacific,China,2021,56.26,67.31,61.19,61.59,0.22,59.08,52.36,62.9,58.49
The Coca-Cola Company,C105,Consumer Defensive,Middle East & Africa,United Arab Emirates,2021,53.35,44.69,56.77,51.6,6.45,51.1,55.64,43.18,60.66
Apple Inc.,C106,Technology,Middle East & Africa,South Africa,2021,59.95,55.51,66.11,60.52,0.52,60.78,59.8,56.42,57.87
Walmart Inc.,C107,Consumer Defensive,North America,Canada,2021,63.65,55.14,31.32,50.04,3.01,63.14,64.42,54.74,36.86
Costco Wholesale Corporation,C108,Consumer Defensive,Asia-Pacific,Australia,2021,31.56,47.08,58.08,45.57,10.01,33.09,31.37,42.34,56.51
Alphabet Inc.,C109,Communication Services,North America,Mexico,2021,36.93,39.25,59.32,45.16,2.18,39.4,40.55,38.78,52.24
Visa Inc.,C110,Financial Services,Asia-Pacific,Australia,2021,56.67,65.81,47.74,56.74,2.13,60.8,56.28,67.37,48.98
Apple Inc.,C111,Technology,Middle East & Africa,South Africa,2021,57.56,53.99,49.25,53.6,29.62,63.78,62.63,54.64,40.37
JPMorgan Chase & Co.,C112,Financial Services,Middle East & Africa,South Africa,2021,58.14,39.04,52.35,49.84,1.99,59.26,61.84,39.01,55.36
Chevron Corporation,C113,Energy,Latin America,Argentina,2021,39.52,47.45,54.57,47.18,2.67,35.8,36.14,46.99,52.5
Visa Inc.,C114,Financial Services,Asia-Pacific,Australia,2021,66.95,37.74,54.2,52.96,8.58,66.04,65.44,50.02,54.59
Johnson & Johnson,C115,Healthcare,Latin America,Brazil,2021,71.12,51.81,53.98,58.97,5.87,70.47,67.5,55.53,47.66
NVIDIA Corporation,C116,Technology,Europe,Netherlands,2021,49.19,66.52,61.55,59.09,4.37,49.4,47.03,68.27,65.33
"Merck & Co., Inc.",C117,Healthcare,Europe,Netherlands,2021,47.33,68.42,60.72,58.82,1.67,47.32,42.76,65.91,64.67
Chevron Corporation,C118,Energy,Asia-Pacific,China,2021,67.05,61.37,54.73,61.05,46.17,66.97,74.18,60.6,55.98
"Amazon.com, Inc.",C119,Consumer Cyclical,Europe,Germany,2021,64.69,42.67,47.97,51.78,1.28,66.13,64.77,33.06,42.81
"Amazon.com, Inc.",C120,Consumer Cyclical,Asia-Pacific,India,2021,48.81,35.02,71.95,51.93,5.82,43.17,53.68,29.71,69.24
Apple Inc.,C121,Technology,Latin America,Brazil,2021,63.43,49.51,69.3,60.75,1.76,60.97,63.56,49.07,64.88
Bank of America Corporation,C122,Financial Services,Asia-Pacific,Japan,2021,68.03,60.83,44.92,57.92,3.26,66.97,73.61,59.16,34.73
"The Home Depot, Inc.",C123,Consumer Cyclical,Latin America,Brazil,2021,65.56,56.22,55.91,59.23,2.42,68.21,60.25,60.91,61.15
Costco Wholesale Corporation,C124,Consumer Defensive,Asia-Pacific,Singapore,2021,73.76,82.27,52.97,69.67,1.55,80.23,69.23,82.18,57.99
Exxon Mobil Corporation,C125,Energy,North America,Mexico,2021,47.02,54.73,58.03,53.26,4.44,50.67,47.48,57.75,60.17
Alphabet Inc.,C126,Communication Services,Latin America,Chile,2021,41.84,53.73,49.52,48.36,3.8,32.42,45.28,58.4,40.96
Costco Wholesale Corporation,C127,Consumer Defensive,Asia-Pacific,Japan,2021,61.4,30.39,66.39,52.73,12.12,60.89,68.18,25.52,71.19
Alphabet Inc.,C128,Communication Services,North America,Canada,2021,76.42,34.12,56.42,55.65,0.86,71.46,67.94,27.62,56.62
Chevron Corporation,C129,Energy,North America,United States,2021,59.11,52.78,41.9,51.27,21.85,62.4,51.68,52.32,31.53
JPMorgan Chase & Co.,C130,Financial Services,Middle East & Africa,United Arab Emirates,2021,64.75,65.26,59.19,63.06,7.06,64.11,58.27,73.4,67.93
AbbVie Inc.,C131,Healthcare,Asia-Pacific,India,2021,40.65,44.22,54.15,46.34,3.19,45.54,41.39,41.73,54.75
Apple Inc.,C132,Technology,Middle East & Africa,Saudi Arabia,2021,41.77,63.17,63.86,56.27,7.11,39.81,35.17,59.28,70.1
"Meta Platforms, Inc.",C133,Communication Services,North America,United States,2021,64.31,58.59,60.31,61.07,4.23,63.5,64.54,59.63,67.04
UnitedHealth Group Incorporated,C134,Healthcare,Latin America,Chile,2021,50.0,72.1,45.74,55.94,5.01,48.05,44.56,73.34,43.95
UnitedHealth Group Incorporated,C135,Healthcare,Asia-Pacific,Australia,2021,54.24,50.99,48.45,51.23,6.92,52.72,55.42,49.22,49.21
Visa Inc.,C136,Financial Services,North America,Mexico,2021,17.29,51.38,53.04,40.57,11.2,17.99,21.06,50.79,53.17
Bank of America Corporation,C137,Financial Services,Europe,Sweden,2021,20.15,39.7,54.52,38.12,1.0,8.53,14.37,41.36,55.87
"Amazon.com, Inc.",C138,Consumer Cyclical,Middle East & Africa,Saudi Arabia,2021,46.02,75.84,62.08,61.32,1.91,50.51,45.31,79.84,75.69
JPMorgan Chase & Co.,C139,Financial Services,Latin America,Argentina,2021,42.92,61.1,35.5,46.51,42.37,42.58,40.36,62.41,39.48
Chevron Corporation,C140,Energy,Middle East & Africa,South Africa,2021,59.59,58.39,56.87,58.28,2.48,59.53,58.13,55.8,66.25
"Tesla, Inc.",C141,Consumer Cyclical,North America,Canada,2021,36.95,39.01,65.1,47.02,6.9,40.5,26.85,48.37,67.81
"Amazon.com, Inc.",C142,Consumer Cyclical,North America,Canada,2021,70.95,77.07,63.23,70.42,1.37,61.26,76.88,72.94,64.88
Apple Inc.,C143,Technology,North America,Canada,2021,37.78,60.44,61.7,53.3,2.0,34.89,41.82,71.0,57.88
"Amazon.com, Inc.",C144,Consumer Cyclical,Latin America,Argentina,2021,67.3,48.6,67.72,61.21,3.42,65.93,75.31,45.78,79.58
Bank of America Corporation,C145,Financial Services,Asia-Pacific,China,2021,66.48,65.69,44.17,58.78,3.05,65.36,69.08,73.0,39.9
Mastercard Incorporated,C146,Financial Services,North America,Mexico,2021,70.28,64.99,66.24,67.17,4.35,73.01,79.96,62.17,65.54
Eli Lilly and Company,C147,Healthcare,Latin America,Brazil,2021,66.5,62.27,46.05,58.27,34.16,65.81,63.4,65.95,53.41
"Amazon.com, Inc.",C148,Consumer Cyclical,North America,Canada,2021,56.18,52.02,84.44,64.21,3.86,60.11,59.35,58.72,88.51
Apple Inc.,C149,Technology,Europe,France,2021,49.72,61.52,62.09,57.78,1.98,51.58,50.49,59.44,58.6
Bank of America Corporation,C150,Financial Services,North America,Mexico,2021,60.96,55.29,52.21,56.15,7.91,58.23,64.33,50.2,50.72
Exxon Mobil Corporation,C151,Energy,Asia-Pacific,India,2021,58.71,32.06,61.57,50.78,3.1,64.68,54.58,22.46,64.28
UnitedHealth Group Incorporated,C152,Healthcare,North America,Canada,2021,82.15,47.15,54.7,61.33,1.4,84.91,89.87,54.38,49.16
Eli Lilly and Company,C153,Healthcare,Middle East & Africa,Saudi Arabia,2021,56.57,55.45,31.86,47.96,0.96,56.2,54.58,59.19,34.12
Costco Wholesale Corporation,C154,Consumer Defensive,Latin America,Chile,2021,66.48,48.27,59.7,58.15,0.68,70.07,59.29,49.39,64.61
Alphabet Inc.,C155,Communication Services,Latin America,Chile,2021,49.35,48.17,27.25,41.59,25.6,50.07,49.12,51.3,26.75
Mastercard Incorporated,C156,Financial Services,Middle East & Africa,South Africa,2021,65.26,66.44,52.63,61.44,4.39,68.97,69.61,63.07,52.68
Mastercard Incorporated,C157,Financial Services,Asia-Pacific,Singapore,2021,51.5,59.24,42.86,51.2,3.95,56.72,50.63,69.6,38.02
Exxon Mobil Corporation,C158,Energy,Latin America,Brazil,2021,50.54,80.31,37.09,55.98,2.82,44.55,51.68,85.71,44.22
"The Home Depot, Inc.",C159,Consumer Cyclical,Latin America,Brazil,2021,57.19,60.6,63.69,60.49,3.89,54.58,60.08,66.35,62.23
The Coca-Cola Company,C160,Consumer Defensive,North America,Mexico,2021,43.64,56.24,52.18,50.69,10.3,42.78,41.21,63.64,51.64
NVIDIA Corporation,C161,Technology,Asia-Pacific,Japan,2021,42.32,50.91,57.14,50.13,2.47,47.71,49.41,39.42,52.05
Costco Wholesale Corporation,C162,Consumer Defensive,Latin America,Chile,2021,42.0,29.73,53.37,41.7,2.59,40.08,40.36,34.99,55.61
"Merck & Co., Inc.",C163,Healthcare,Latin America,Argentina,2021,48.15,50.65,61.87,53.56,11.87,58.2,46.4,53.92,60.98
"PepsiCo, Inc.",C164,Consumer Defensive,Asia-Pacific,India,2021,47.74,78.13,53.45,59.77,14.52,53.17,51.44,77.45,56.84
Broadcom Inc.,C165,Technology,North America,United States,2021,71.69,66.4,39.72,59.27,15.67,79.92,70.23,67.01,33.38
Bank of America Corporation,C166,Financial Services,Middle East & Africa,United Arab Emirates,2021,40.31,42.48,49.56,44.12,19.51,37.7,44.06,38.88,51.24
UnitedHealth Group Incorporated,C167,Healthcare,North America,Canada,2021,80.03,65.59,80.1,75.24,6.6,86.3,71.06,59.09,83.15
Costco Wholesale Corporation,C168,Consumer Defensive,Asia-Pacific,Singapore,2021,56.51,64.47,37.88,52.95,0.1,60.35,59.63,69.82,39.84
The Coca-Cola Company,C169,Consumer Defensive,Asia-Pacific,Singapore,2021,64.5,47.88,73.32,61.9,10.89,72.5,63.31,53.54,81.6
Mastercard Incorporated,C170,Financial Services,North America,Canada,2021,56.78,67.14,53.86,59.26,1.8,46.9,61.44,67.39,52.96
Johnson & Johnson,C171,Healthcare,North America,United States,2021,44.9,58.67,65.12,56.23,1.45,37.76,39.29,56.98,70.3
Broadcom Inc.,C172,Technology,Europe,Netherlands,2021,46.13,44.07,49.35,46.52,7.66,42.06,49.98,36.69,49.61
The Coca-Cola Company,C173,Consumer Defensive,Europe,Sweden,2021,63.61,45.06,44.85,51.17,2.46,61.8,60.56,53.91,34.12
Costco Wholesale Corporation,C174,Consumer Defensive,Asia-Pacific,India,2021,48.7,41.79,63.49,51.33,1.06,42.57,52.92,42.59,64.97
NVIDIA Corporation,C175,Technology,Middle East & Africa,Saudi Arabia,2021,36.75,43.17,45.23,41.72,17.88,37.52,39.15,41.79,43.71
"Tesla, Inc.",C176,Consumer Cyclical,Europe,Netherlands,2021,50.49,45.15,57.84,51.16,0.19,54.83,45.82,38.75,55.16
AbbVie Inc.,C177,Healthcare,Europe,Germany,2021,61.49,40.7,48.93,50.37,6.25,67.01,54.39,46.32,53.33
"The Home Depot, Inc.",C178,Consumer Cyclical,Latin America,Brazil,2021,58.14,42.04,47.29,49.16,27.83,48.0,55.52,47.05,49.41
The Coca-Cola Company,C179,Consumer Defensive,Middle East & Africa,United Arab Emirates,2021,64.17,55.42,48.15,55.92,1.59,63.99,59.72,59.19,58.04
Walmart Inc.,C180,Consumer Defensive,Europe,France,2021,62.83,41.21,55.15,53.06,6.48,65.22,61.51,40.98,58.76
The Procter & Gamble Company,C181,Consumer Defensive,North America,Mexico,2021,37.08,60.91,55.4,51.13,1.32,32.4,27.44,60.81,51.77
Berkshire Hathaway Inc.,C182,Financial Services,Middle East & Africa,Saudi Arabia,2021,47.47,39.06,61.67,49.4,1.77,49.57,48.42,32.48,64.97
JPMorgan Chase & Co.,C183,Financial Services,Latin America,Brazil,2021,45.59,22.94,62.17,43.57,16.5,51.29,47.36,14.04,66.84
JPMorgan Chase & Co.,C184,Financial Services,North America,United States,2021,47.62,74.18,52.4,58.07,6.92,47.15,51.61,77.48,45.31
"PepsiCo, Inc.",C185,Consumer Defensive,Europe,Netherlands,2021,50.63,46.37,52.88,49.96,1.22,56.48,44.97,47.18,54.24
Johnson & Johnson,C186,Healthcare,Latin America,Brazil,2021,56.54,58.58,63.67,59.6,0.25,60.32,61.55,59.19,61.48
Exxon Mobil Corporation,C187,Energy,Europe,Sweden,2021,48.08,60.34,54.65,54.36,22.58,45.78,52.54,50.9,59.16
UnitedHealth Group Incorporated,C188,Healthcare,Europe,Netherlands,2021,58.37,46.19,61.15,55.24,0.66,57.84,55.09,45.17,64.6
Walmart Inc.,C189,Consumer Defensive,Asia-Pacific,Australia,2021,37.11,63.43,46.5,49.01,2.79,33.38,36.06,68.8,45.78
Costco Wholesale Corporation,C190,Consumer Defensive,Middle East & Africa,United Arab Emirates,2021,96.0,66.74,71.06,77.93,10.63,97.78,95.3,62.91,77.94
Apple Inc.,C191,Technology,North America,Canada,2021,42.2,57.47,45.5,48.39,6.97,39.63,41.52,58.73,49.45
Apple Inc.,C192,Technology,North America,Canada,2021,57.54,50.38,52.27,53.4,3.81,64.91,56.54,51.57,56.56
Walmart Inc.,C193,Consumer Defensive,Europe,Germany,2021,57.85,73.68,51.72,61.08,0.77,53.3,57.65,77.33,59.94
Walmart Inc.,C194,Consumer Defensive,Asia-Pacific,China,2021,58.77,54.08,65.22,59.36,0.4,61.69,51.91,58.64,74.06
"PepsiCo, Inc.",C195,Consumer Defensive,Middle East & Africa,United Arab Emirates,2021,58.83,31.6,39.24,43.22,4.79,58.67,66.22,36.35,39.64
